Position,song,artist
1,Yahweh,Mercy Chinwo
2,Beautiful (feat. Nathaniel Bassey),Sinach
3,Everything (Amen),Timi Dakolo
4,Everything,Ada Ehi
5,Onyedikagi (feat. Glowrie),Mercy Chinwo
6,Imole,Sola Allyson
7,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey
8,Worship Your Maker,Dunsin Oyekan
9,Worship Medley (feat. Toks Nnamani),Kaydee Numbere
10,Nothing Without You (feat. Kirk Whalum),Dr Tumi
11,Rejoice in the Lord Philippians 4:4,Victoria Orenze
12,One Moment,Freke Umoh
13,Magnify,Dare David
14,Obinasom,Mercy Chinwo
15,Jesus Jehovah,Lara George
16,Way Maker,Sinach
17,You are Yahweh,Steve Crown
18,We Raise a Sound (feat. 121selah),Nosa
19,My Father & My Friend,Elijah Oyelade
20,Too Faithful,Moses Bliss
21,Excess Love (Live) (feat. Mercy Chinwo),J.J. Hairston
22,Nara,Tim Godfrey
23,Jesus Never Fails,MaryJane Nweke
24,Olorun Agbaye: You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey
25,Knowing You,Minister GUC
26,Love My Home,Sinach
27,Unchangeable,Joe Praize
28,Congratulations (feat. Buchi Atuonwu),Ada Ehi
29,Take Over,1spirit & Theopilus Sunday
30,You Are Worthy,Tope Alabi
31,Adonai [Live],Elijah Oyelade
32,God of Vengeance,Minister GUC
33,In Your Hands,Moses Bliss
34,Jesus (feat. Mercy Chinwo),Samsong
35,WE WORSHIP YOU,Frank Edwards
36,Chinedum,Mercy Chinwo
37,Your Word Is Truth (Live),CHRIS SHALOM
38,Show Up,Ema Onyx
39,Covenant Keeping God,Jimmy D Psalmist
40,Battles,Tim Godfrey
41,Peace In the Storm,Sinach
42,Now,Ada Ehi
43,At All Cost,Dunsin Oyekan
44,You No Dey Use Me Play,Ema Onyx
45,Yes And Amen,Tope Alabi
46,Na You Dey Reign,Mercy Chinwo
47,You are Great,Steve Crown
48,Rid Me of Those Things,Elijah Oyelade
49,My Praise (feat. Solomon Lange),Norine Mindeyes
50,Great I Am,Dare David
51,ÌRÌ,Sola Allyson
52,Healing Stream,Evans Ighodalo
53,Omemma,Sinach
54,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo
55,Yahweh Be Praised ( Live ),Emmasings
56,NO OTHER NAME,Frank Edwards
57,All That Matters,GUC
58,Halleluyah,Tope Alabi
59,Fragrance to Fire,Dunsin Oyekan
60,More Than Gold (feat. Mercy Chinwo),Judikay
61,ADA EHI - I OVERCAME | The Official Video,Ada Ehi
62,Under The Canopy,Frank Edwards
63,Hallelujah No Go Finish,Freke Umoh
64,Yours (Live),Minister GUC
65,Imela,Steve Crown
66,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple",Moses Bliss
67,Mimo,Sola Allyson
68,All Things Are Ready,Sinach
69,Mighty God (feat. Nathaniel Bassey),Steve Crown
70,Imole De,Dunsin Oyekan
71,IZURUKEME (more than enough),Promise Benson
72,Gratitude,Tope Alabi
73,Man of Galilee,Judikay
74,Angels Bow (feat. Phil Thompson),Steve Crown
75,On #Yes and Amen Album - Talo dabii re TOPE ALABI,Tope Alabi
76,Same God,Segun John
77,Idinma,Judikay
78,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE
79,You Are Jehovah,Prospa Ochimana
80,Awesome God,SINACH
81,Yes Lord (Live),Judikay
82,Spirit Pray (Live),Elijah Oyelade
83,I Win,Samsong
84,Yahweh,David G
85,Eze Nara Ekele,Steve Crown
86,We Wait on You,Steve Crown
87,Ebe,Sola Allyson
88,Born to Worship,Prinz
89,Aye Ole,Infinity
90,Korede,Mike Abdul
91,Iyin,Sola Allyson
92,Iyin Ye O,Tope Alabi
93,E Dey Work,Samsong
94,Nobody Can,Sammie Okposo
95,Bless Me (feat. Ada Ehi),Mercy Masika
96,My Peace,Elijah Oyelade
97,Iro Halleluyah (feat. Tope Alabi),Mike Abdul
98,Jésù Mi Dà (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul
99,GOD ALONE,Joe Praize
